EmployeeId,age,occupation
178501,62,9120
2594132,73,4700
2114662,59,100
3116354,64,8760
2007356,28,5620
1468534,64,5000
2466985,32,700
1929250,44,2320
1613332,62,2200
1090340,64,8965
2003500,43,4620
1836662,59,5700
3005511,35,4020
538633,37,9130
777598,50,2200
2985205,63,740
194532,36,520
1007405,38,4850
479740,33,1410
1447350,32,2310
1704323,44,5000
479572,23,1020
1867211,60,5860
480531,64,1020
1286037,29,9620
705626,44,430
2142885,58,5550
1399699,56,4720
349775,33,2200
1169474,54,430
1632831,39,5860
307905,68,4020
2134571,38,4000
2826878,19,4760
175061,50,3945
1285990,34,7315
1147490,62,2200
1006887,19,1900
709933,49,150
1967995,72,2310
2698021,48,4510
2181859,78,2310
2276079,30,1460
355554,77,1360
2886780,61,910
2961818,26,8965
416206,21,4220
2773365,65,6355
1431829,43,136
2263556,32,120
2087465,31,2310
1614945,58,4700
69425,28,6220
1824768,28,4760
2834537,60,3255
767128,45,7750
703329,67,3600
247925,37,7700
1043635,61,5550
1133698,23,5400
344097,47,630
1511386,40,2015
1596830,67,3600
2460126,48,430
1949061,59,4040
1159848,28,4500
1620645,34,7420
2292971,37,3255
2375383,53,5240
3038801,54,2300
1426287,44,430
2860281,43,4650
170277,26,7315
1333447,41,9620
2782210,59,2200
1784968,53,350
3097851,19,4350
102130,20,5160
2498286,63,5160
649639,56,5700
2523506,53,20
497278,34,410
2950202,24,2300
1134988,41,9130
336164,67,4720
2151668,24,6210
1743731,45,2320
1379806,60,1720
1365098,22,1460
2822774,36,2630
2355476,28,740
6161,49,7750
1559068,52,310
827836,62,4920
2855513,50,4610
929552,46,7340
3094196,39,1530
2698196,31,5410
876105,52,2540
2985443,52,430
2183592,54,6730
2437801,63,800
3132449,36,8320
42912,43,2200
1425931,49,700
2558551,51,2310
223720,39,4760
2672248,64,1050
2333639,64,9130
1360854,27,2900
3153977,54,9130
807732,19,9620
482967,28,2320
2612786,48,120
2052520,77,3930
1752210,28,3649
2298714,24,9640
1770773,50,4230
1966890,57,4610
1103187,18,9920
1325022,19,4220
2637859,36,4710
191468,61,2540
2389800,36,430
2636791,73,430
261671,51,6420
2611705,19,9920
731280,63,8965
2295799,41,3600
1980239,23,50
2118119,70,800
2470746,82,7330
1922413,61,8950
819872,52,6420
1963105,51,140
1196096,59,6230
864507,17,4720
812552,30,7150
288681,59,650
1418279,37,3649
2592370,41,700
1036421,32,3850
2469954,67,6050
1801306,40,1106
1983562,64,8030
1133499,35,4110
2584286,42,1050
1273401,70,430
2199449,48,136
2556112,46,1550
125353,24,3649
2029081,18,3600
1716686,21,4720
2311921,41,5100
2421303,21,2850
3181767,19,9130
1972613,42,7420
555069,65,7810
279144,20,50
576862,77,2310
2663301,34,3640
2379969,36,1020
1997962,62,2720
1587392,18,4030
1165643,57,205
2089560,65,3320
998142,21,4010
870219,36,4250
2725820,57,6050
441564,37,2310
2079876,46,7700
393099,33,4020
579628,74,4230
2623502,40,4600
2548802,46,3310
301767,47,710
2264505,43,9620
2481663,71,5240
1504331,56,205
736020,57,5620
2115958,30,9130
993885,56,4850
93159,51,6330
919384,50,2310
811268,33,220
2937801,48,5620
1955646,29,2810
2325897,38,5110
1782997,52,4220
1864277,22,4010
2042636,66,8255
506828,56,2010
1315219,60,7330
429526,53,4700
2836116,22,4050
1412656,29,160
568017,63,4030
649245,77,2100
146662,29,3255
3010514,62,1050
2178895,35,4010
259379,53,6050
1504556,32,6765
1246883,40,430
1749387,48,6230
2947201,48,1020
1172668,26,8800
1308313,21,735
2907212,17,4720
716113,45,2720
1678060,66,8800
3013600,25,3300
2231796,52,2310
955607,52,205
1964878,54,910
838918,64,3255
1532371,56,6230
617286,24,4760
3184636,60,4700
1896140,52,4710
1882600,51,430
2248465,32,6260
2328186,58,9520
2807001,19,4110
2349821,42,5240
222324,39,4700
1533826,53,4710
1134359,58,1006
472285,28,740
53923,20,4050
2579734,26,630
1031565,54,1550
1235098,71,4760
1287673,43,4220
3004236,52,9030
2644097,19,4110
1176682,60,7720
980760,37,5000
2039868,18,5260
1711932,63,7210
977993,18,5620
1417130,29,9140
1260464,48,230
958451,18,9920
776725,24,630
300457,65,2100
2260339,32,4520
2898952,65,5700
925279,51,4850
588199,34,3630
277732,33,5700
3077035,52,3640
2474469,22,1020
1792994,48,7210
1993429,76,1460
776541,57,6720
607197,33,3640
2362077,29,430
1506524,49,8965
1864527,28,6260
2290260,32,3255
3164480,25,4720
2222241,65,4610
2036314,48,4610
390114,71,5260
1864324,42,2000
511054,63,4850
261443,66,1410
1985605,42,5700
989986,36,2540
171651,51,710
668845,18,4220
1314571,43,9130
2654245,52,3850
116923,62,9410
951384,23,9830
2662125,51,2310
2513006,61,350
110611,65,4250
1404158,66,420
1310847,30,4220
111297,49,4760
1251592,18,9620
358905,74,9130
2367503,23,4700
2983708,59,9140
2200165,57,3500
3054362,58,7420
1165608,24,4210
1361377,49,1240
23545,61,5600
265719,32,5400
1506189,47,430
405856,41,430
522278,38,1460
1013561,42,2320
2138161,28,2200
3156779,50,8910
939479,18,5240
2993217,57,1010
1619797,35,4210
287883,28,6230
1133450,81,4250
924179,23,5620
1176898,52,5240
1232463,31,4820
2213381,43,9640
2398111,21,4250
323640,30,4700
1251421,33,6720
359949,38,2310
1775117,40,110
1478286,52,9130
2349749,32,2320
2404885,32,6260
1628837,56,4820
1219271,45,6515
246262,62,4610
2430246,48,4600
753509,61,230
1606088,57,205
2044113,20,4700
485759,19,8950
1313751,57,2600
1978246,60,4220
853514,39,9350
1713933,38,205
1044819,63,9130
2092521,37,10
2526779,67,7750
863700,37,8965
2961960,51,1006
1760735,64,5700
2825341,79,5000
2716661,35,4220
2710761,37,4520
1096408,54,1460
2432302,18,4130
2229744,55,2040
1910053,23,5350
269334,54,9640
2490810,61,4710
967613,66,5700
1333556,33,160
2597834,47,20
2035677,40,5860
485579,39,2400
1441990,53,5700
1613839,17,4760
1574783,33,2320
139959,48,9030
2007282,54,3850
2472273,64,3050
102976,49,5700
591140,32,4430
1959138,35,5700
567940,71,60
2248666,45,136
1403119,51,430
654883,63,2310
1182241,52,4710
1218922,32,4760
139703,69,5400
2944906,59,5700
1915554,22,4220
974638,74,800
1686636,27,4840
1205399,35,1105
1781981,71,3250
166470,46,2630
1615921,33,3500
3003142,70,4760
3153072,47,9620
1229728,23,2810
2035124,63,3245
281982,28,4020
526906,18,4030
2132083,30,2630
1863599,42,4920
1265537,32,9830
1266619,18,5620
150081,35,540
1410946,25,2310
1045843,58,5620
1978814,32,3930
2315977,16,2550
188769,59,300
130610,19,4150
467576,28,3258
1011046,64,5420
1182649,54,9620
1036250,51,2160
2566390,58,1760
3136132,65,205
1762352,31,3600
1600293,28,4760
2727176,40,136
2341807,38,7750
2060223,25,3255
2818939,39,4840
213008,26,2630
349774,65,5000
2588104,61,8030
2177260,34,4840
1421164,71,4250
950280,47,4600
1149183,22,4760
1947148,56,4610
3148976,57,6040
2497118,75,4230
1065714,27,4840
826117,38,5240
459239,55,110
2008697,27,136
2464409,34,3255
2873430,27,9600
1656,26,2000
1493494,51,8620
1956458,42,800
1389664,34,3740
1143305,48,7700
1747761,33,2540
2102039,37,137
1702065,16,3955
648033,46,640
470206,61,10
1089827,41,4230
3160330,53,7750
395306,39,3255
2887022,66,5120
991747,46,9130
312403,57,300
401843,25,800
2608886,31,2860
2715633,62,800
2436083,26,8300
1653743,35,4720
871053,27,4850
1749347,55,4150
2851574,29,4110
22162,44,4510
1719476,62,7200
322240,56,9130
2306333,18,3647
2154191,38,3420
2445577,41,2540
476748,43,3060
3079081,58,2310
1311676,21,4720
111726,46,3258
1097141,29,5000
2916726,23,3300
2793403,29,3710
793920,50,3050
2299728,19,7750
691440,58,1740
2158136,62,2310
1041663,55,9130
1185018,47,2310
1321599,53,2000
1280791,72,4760
729070,20,9920
2203764,34,1020
1400276,64,8030
1230593,42,205
2822965,56,420
1721925,25,2310
2812798,32,310
1606297,54,205
2029473,42,420
2908170,22,9640
1800517,42,110
891380,31,4760
2209227,48,4600
444258,39,430
218066,24,8800
2574342,49,5240
975183,61,2016
2686224,29,4720
51302,31,2540
125585,52,8320
2094419,62,4510
826039,26,110
2990090,27,20
2852935,57,2010
948429,55,4710
50826,68,6260
1838053,53,350
2753779,25,2340
2100995,58,3255
351619,35,3930
950852,57,3720
804485,64,7750
2102724,60,3930
1806519,23,3600
1636081,26,3420
1687580,70,810
2942418,68,2310
2764455,39,6355
1898240,32,2430
345134,56,4130
2003269,27,4130
2733174,32,4130
1598015,50,4130
1019154,16,4130
2896281,43,4130
2493492,20,4130
2146815,34,4130
2179409,35,120
347923,60,9830
2717655,19,9830
2579200,41,9830
1083393,36,9830
451366,59,9830
1951878,31,9830
174404,49,9830
311324,64,9830
2326549,35,9830
411213,31,9830
1770597,60,9830
2043395,59,9830
1057452,59,9830
2863570,16,9830
786367,64,9830
2064922,37,9830
14094,59,9830
2501749,51,9830
163848,44,9830
887216,30,9830
695020,59,9830
1623572,23,9830
1136427,28,9830
244126,43,9830
2018133,44,9830
2597759,61,9830
633187,52,9830
1415001,40,9830
2782679,55,9830
2145163,75,9830
1259525,58,9830
2507411,48,4220
2691377,75,4220
878320,70,4220
1284028,52,4220
568511,19,4220
1170968,27,4220
2962233,32,4220
568016,30,4220
2776520,58,4220
2043916,28,4220
677728,36,4220
634434,24,4220
1016254,38,1300
2004492,61,1300
2121215,46,1300
888108,37,1300
2745644,39,1300
2138826,51,1300
1089020,54,1300
2469523,35,1300
1404081,24,1300
1386151,43,1300
1069273,37,1300
2109424,49,1300
301447,52,1300
2394520,28,1300
2799136,22,1300
1156864,17,1300
1304407,63,1300
2794976,26,1300
938420,27,1300
631800,33,3600
1430054,46,4220
